"ids","class","match","multiple_matches","pattern_match","uri"
"13329","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/13329"
"252450","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/252450"
"79824","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/79824"
"141466","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/141466"
"366481","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/366481"
"571920","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/571920"
"983213","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/983213"
"53236","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/53236"
"39344","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/39344"
"38727","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/38727"
"248511","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/248511"
"4545","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/4545"
"79855","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/79855"
"199521","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/199521"
"79857","uid","found",FALSE,FALSE,"https://www.ncbi.nlm.nih.gov/taxonomy/79857"
